name,sci_name,state,county,points,link,img,lat,long
Sequoia Giant,Sequoiadendron giganteum,CA,Tulare,1321,https://www.americanforests.org?page_id=56124,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5994,36.2516475,-118.852583
Redwood Coast,Sequoia sempervirens,CA,Del Norte,1223,https://www.americanforests.org?page_id=85016,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=6625,41.7261767,-123.91328
Redwood Coast,Sequoia sempervirens,CA,Humboldt,1216,https://www.americanforests.org?page_id=84992,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=1147,40.5997415,-123.8997734
Spruce Sitka,Picea sitchensis,WA,Grays Harbor,951,https://www.americanforests.org?page_id=56046,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=614,47.1744169,-123.8658829
Redcedar Western,Thuja plicata,WA,Clallam,922,https://www.americanforests.org?page_id=64651,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5793,47.9998383,-123.7373472
Douglas-fir Coast,Pseudotsuga menziesii,WA,Grays Harbor,891,https://www.americanforests.org?page_id=64658,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=3594,47.1744169,-123.8658829
Port-orford-cedar ,Chamaecyparis lawsoniana,OR,Coos,773,https://www.americanforests.org?page_id=56110,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=6646,43.2184144,-124.109621
Eucalyptus Bluegum,Eucalyptus globulus,CA,Humboldt,759,https://www.americanforests.org?page_id=57971,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5660,40.5997415,-123.8997734
Baldcypress Common,Taxodium distichum,LA,West Feliciana,739,https://www.americanforests.org?page_id=60024,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=3065,30.709264,-91.146021
California-laurel ,Umbellularia californica,OR,Curry,724,https://www.americanforests.org?page_id=85025,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,42.4265426,-124.216879
Cypress Monterey,Cupressus macrocarpa,CA,San Mateo,718,https://www.americanforests.org?page_id=82304,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=6099,37.496904,-122.3330573
Cottonwood Fremont,Populus fremontii ssp. fremontii,AZ,Yavapai,702,https://www.americanforests.org?page_id=55482,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5643,34.5668857,-112.5515965
Incense-cedar ,Calocedrus decurrens,CA,Siskiyou,644,https://www.americanforests.org?page_id=57974,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5900,41.5007223,-122.54435414752092
Incense-cedar ,Calocedrus decurrens,OR,Josephine,633,https://www.americanforests.org?page_id=55534,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=1916,42.3554368,-123.5602707
Oak Canyon live,Quercus chrysolepis,CA,San Bernardino,622,https://www.americanforests.org?page_id=57963,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=6553,34.8253019,-116.0833144
Pine Sugar,Pinus lambertiana,CA,Tuolumne,615,https://www.americanforests.org?page_id=56409,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5741,38.056944,-119.9919351
Maple Bigleaf,Acer macrophyllum,OR,Lane,605,https://www.americanforests.org?page_id=55414,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,43.9314567,-122.8575849
Tupelo Water,Nyssa aquatica,AR,White,599,https://www.americanforests.org?page_id=85013,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=4372,35.2463042,-91.7169687
Alaska-cedar ,Cupressus nootkatensis,WA,Jefferson,585,https://www.americanforests.org?page_id=64650,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=4184,41.0131342,-91.9718642
Tupelo Water,Nyssa aquatica,VA,Greensville,584,https://www.americanforests.org?page_id=55655,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5642,36.6405713,-77.5768298
Fir Noble,Abies procera,WA,Cowlitz,579,https://www.americanforests.org?page_id=64640,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=4150,46.1998625,-122.6931507
Sycamore American,Platanus occidentalis,OH,Ashland,578,https://www.americanforests.org?page_id=64627,https://www.americanforests.org/wp-content/plugins/bigtrees/NoImageAvailablePicture.jpg,40.7887367,-82.2360391
Pine Pacific ponderosa,Pinus ponderosa var. benthamiana,CA,El Dorado,576,https://www.americanforests.org?page_id=82096,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=5689,38.7574137,-120.5276129
Juniper Sierra,Juniperus grandis,CA,Tuolumne,573,https://www.americanforests.org?page_id=56123,https://www.americanforests.org/wp-content/plugins/bigtrees/view_image.php?area=web_pic&image_id=6112,38.056944,-119.9919351
